city,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
clyde river,"(72.215845599571, -82.83386044880689)",72.215845599571,-82.83386044880689,44.01,44.01,90,4.79,100
ushuaia,"(-60.60988334022177, -54.90046397944134)",-60.60988334022177,-54.90046397944134,50.29,51.8,66,31.09,40
santa maria,"(17.365409661683884, -20.867597749978643)",17.365409661683884,-20.867597749978643,82.52,82.52,80,8.68,100
yellowknife,"(67.83096814055853, -112.9967641072887)",67.83096814055853,-112.9967641072887,45.25,46.99,39,17.22,20
jamestown,"(-21.923852961333196, -15.678871848189146)",-21.923852961333196,-15.678871848189146,50.3,50.3,80,5.17,10
russell,"(-25.4165080237115, 179.78924728880423)",-25.4165080237115,179.78924728880423,68,68,56,5.82,20
naze,"(29.30586899595974, 128.31335880642234)",29.30586899595974,128.31335880642234,82.4,82.4,83,5.82,20
sitamarhi,"(26.60061546797789, 85.47356459082528)",26.60061546797789,85.47356459082528,88.82,88.82,16,3.65,0
chara,"(57.13732060046928, 116.55967471838136)",57.13732060046928,116.55967471838136,57.25,59,62,4.23,75
busselton,"(-72.09744260149697, 95.97438836199467)",-72.09744260149697,95.97438836199467,54.68,55.99,74,14.63,100
hilo,"(2.2674072916921943, -161.26543262027437)",2.2674072916921943,-161.26543262027437,72.66,75,68,3.38,75
castro,"(-46.07813301546065, -86.76864283828886)",-46.07813301546065,-86.76864283828886,57.2,57.2,71,9.17,0
aklavik,"(79.92241461812017, -143.7857736425504)",79.92241461812017,-143.7857736425504,25.57,26.6,63,17.22,40
hobart,"(-89.4004912527749, 149.45646716359488)",-89.4004912527749,149.45646716359488,40.62,42.8,87,8.05,0
port alfred,"(-82.24201027869208, 47.05124142603526)",-82.24201027869208,47.05124142603526,58.1,64.99,54,3.36,0
bulungu,"(-5.27108716020561, 17.543971239931977)",-5.27108716020561,17.543971239931977,83.6,83.6,59,0.45,96
new norfolk,"(-84.54375849354008, 127.59046067623308)",-84.54375849354008,127.59046067623308,79.05,81,36,3.36,1
mar del plata,"(-54.26796632295697, -36.31519980713961)",-54.26796632295697,-36.31519980713961,37.88,37.88,14,12.55,10
namtsy,"(62.729444750373375, 129.85670493943212)",62.729444750373375,129.85670493943212,35.6,35.6,80,4.47,0
graaff-reinet,"(-31.76956991951789, 23.734763006082574)",-31.76956991951789,23.734763006082574,76.94,76.94,19,12.39,87
axim,"(-5.241337041441483, -2.398114880566254)",-5.241337041441483,-2.398114880566254,84.5,84.5,74,7.52,35
urubicha,"(-15.452418993294856, -62.23929826575436)",-15.452418993294856,-62.23929826575436,91.16,91.16,47,1.9,95
cidreira,"(-31.153218687990446, -47.55358231560359)",-31.153218687990446,-47.55358231560359,69.56,69.56,58,8.01,61
